id,name,github_url,description,maintainer,category,subcategory,tags,stars_approx,license,last_activity,entry_count_approx,format,has_contributions_guide,editorial_notes,related_lists,added_date,stars_count,forks_count,last_commit_date,open_issues_count,is_archived,created_year,watchers_count,list_type,audience_level,use_cases,has_website,website_url,is_awesome_verified,language_focus,overlaps_with,best_sections,quality_score,getting_started,suggested_projects,featured_example
awesome,Awesome,https://github.com/sindresorhus/awesome,"An extensive, community-driven index of awesome lists covering virtually every programming topic and technology.",sindresorhus,Meta Lists,Master Index,meta|curated-list|index|awesome-lists,72k,CC0-1.0,2026,300+,markdown,TRUE,The original and definitive awesome list. Maintained by sindresorhus with strict quality standards — every submitted list must pass a comprehensive linting check. The gold standard for curated GitHub lists.,awesome-awesomeness|awesome-awesome-awesome,2026-04-05,460779,34569,2026-04-19,68,FALSE,2014,460779,mixed,all,discovering curated lists|finding resources for any topic|exploring GitHub ecosystems,TRUE,https://awesome.re,FALSE,,awesome-awesomeness|lists,Platforms|Programming Languages|Front-End Development,10,"Start with the 'Platforms' and 'Programming Languages' sections to find lists matching your tech stack, then branch out to 'Front-End Development' or 'Back-End Development' based on your focus area.",Build a personalized awesome-list aggregator that pulls and merges lists from your tech stack into a single feed|Create a CLI tool that searches across all linked awesome lists and returns matching resources by keyword|Build a freshness tracker that monitors awesome lists for new additions and sends weekly digests,"{""name"": ""awesome.re"", ""url"": ""https://awesome.re"", ""why"": ""The official companion website provides a badge system, linting tools, and contribution guidelines that define the standard for all awesome lists""}"
awesome-awesomeness,Awesome Awesomeness,https://github.com/bayandin/awesome-awesomeness,"A curated meta-list organized by programming language, covering awesome lists across the entire software ecosystem.",bayandin,Meta Lists,Language-Organized,meta|programming-languages|curated-list,18k,CC0-1.0,2024,200+,markdown,TRUE,"Organizes awesome lists by programming language rather than topic, making it easy to discover resources for a specific language ecosystem. Complements the main awesome list well.",awesome|lists,2026-04-05,33399,3596,2024-06-02,54,FALSE,2014,33399,mixed,all,finding awesome lists by language|discovering language ecosystems|exploring cross-language resources,FALSE,,TRUE,,awesome|lists,Programming Languages|Ruby|Python,7,"Navigate by programming language rather than topic — find your primary language first, then explore adjacent language ecosystems to discover cross-pollinating tools and patterns.",Build a language-ecosystem comparison dashboard that visualizes the breadth and depth of tooling across programming languages|Create a 'polyglot explorer' that recommends equivalent libraries across different language ecosystems|Develop a trend tracker comparing awesome-list growth rates across languages,
lists,Lists,https://github.com/jnv/lists,"A comprehensive meta-list of useful, silly, and awesome lists curated on GitHub and elsewhere.",jnv,Meta Lists,General Index,meta|curated-list|resources|index,33k,Unknown,2024,400+,markdown,TRUE,One of the largest meta-indexes on GitHub. Uniquely includes non-technical lists alongside technical ones. Great for discovering niche and unusual curated collections.,awesome|awesome-awesomeness,2026-04-05,11163,759,2026-03-23,8,FALSE,2013,11163,mixed,all,finding niche lists|discovering non-technical curated lists|exploring unusual collections,FALSE,,FALSE,,awesome|awesome-awesomeness,Technical Lists|Non-Technical Lists|Lists of Lists,8,Scroll past the technical sections to discover the unique non-technical lists (like 'awesome-fantasy' or 'awesome-food') — this is the only major index that covers both technical and non-technical curated collections.,"Build a discovery engine that categorizes and tags all linked lists, enabling faceted search across the entire index|Create a 'list health monitor' that checks each linked repository for activity, broken links, and staleness|Develop a recommendation system that suggests lists based on a user's GitHub stars and interests",
awesome-awesome-awesome,Awesome Awesome Awesome,https://github.com/t3chnoboy/awesome-awesome-awesome,"A meta-curated collection of awesome lists, organized as a list of lists of lists.",t3chnoboy,Meta Lists,Meta-Curated,meta|curated-list|index,2.2k,Unknown,2023,100+,markdown,FALSE,"A fun, recursive take on the awesome list concept — it's literally a list of lists of lists. More compact than the main indexes but includes some unique finds.",awesome|awesome-awesomeness,2026-04-05,2171,177,2023-11-13,4,FALSE,2014,2171,mixed,all,meta-list exploration|finding curated collections|recursive discovery,FALSE,,FALSE,,awesome|awesome-awesomeness,Programming|Data Science|Security,3,"Use this as a quick springboard when other meta-lists feel overwhelming — the smaller scope makes it easier to scan, and you'll find some unique curated collections not in the larger indexes.",Build a recursive list crawler that maps the full graph of list-to-list references|Create a visualization showing the hierarchy of meta-lists and their overlap|Develop a 'list diff' tool that finds unique entries in each meta-list not present in others,
the-book-of-secret-knowledge,The Book of Secret Knowledge,https://github.com/trimstray/the-book-of-secret-knowledge,"A collection of inspiring lists, manuals, cheatsheets, blogs, hacks, one-liners, CLI/web tools, and more.",trimstray,Meta Lists,Multi-Domain,meta|cheatsheets|devops|security|sysadmin,70k,MIT,2026,1000+,markdown,TRUE,"Massive compendium spanning CLI tools, one-liners, sysadmin resources, security tools, and developer cheatsheets. Particularly strong on networking, security, and DevOps. A hidden gem for infrastructure engineers.",awesome|lists,2026-04-05,218143,13107,2024-11-19,140,FALSE,2018,218143,tools,intermediate,finding CLI tools|learning sysadmin tricks|discovering DevOps resources,FALSE,,FALSE,,awesome,CLI Tools|One-Liners|Security & Privacy,9,"Jump directly to the 'CLI Tools' and 'One-liners' sections for immediately actionable content, then explore the 'Web Tools' section for browser-based utilities you can start using today.",Build a terminal dashboard that integrates the best CLI tools from this list into a unified productivity workspace|Create a 'sysadmin toolkit' installer script that sets up curated tools from this list for a new server|Develop an interactive cheat-sheet app that indexes the one-liners and manuals referenced here,"{""name"": ""CLI Tools section"", ""url"": ""https://github.com/trimstray/the-book-of-secret-knowledge#cli-tools-toc"", ""why"": ""The CLI tools section alone contains hundreds of curated command-line utilities organized by function, making it the single most actionable section for daily developer productivity""}"
awesome-machine-learning,Awesome Machine Learning,https://github.com/josephmisiti/awesome-machine-learning,"A curated list of machine learning frameworks, libraries, and software organized by programming language.",josephmisiti,AI & Machine Learning,General ML,machine-learning|deep-learning|frameworks|libraries,27k,CC0-1.0,2025,800+,markdown,TRUE,"One of the oldest and most comprehensive ML resource lists. Organized by language (Python, C++, Java, Go, etc.) and then by ML subdomain. Excellent breadth across the entire ML landscape.",machine-learning-tutorials|awesome-deep-learning,2026-04-05,72374,15435,2026-04-26,4,FALSE,2014,72374,libraries,intermediate,finding ML frameworks|comparing ML libraries across languages|discovering ML tools,FALSE,,TRUE,,machine-learning-tutorials|awesome-deep-learning,Python|TensorFlow|Natural Language Processing,10,"Filter by your preferred programming language first (Python, R, Java, etc.) since the list is organized by language, then drill into framework-specific sections like TensorFlow or PyTorch.",Build a model comparison dashboard that benchmarks different ML frameworks listed here on a standard dataset|Create an ML project scaffolder that generates boilerplate code using the best library for each task from this list|Develop a recommendation engine that suggests the right ML library based on your dataset type and task,"{""name"": ""scikit-learn"", ""url"": ""https://scikit-learn.org"", ""why"": ""Featured prominently across multiple sections, scikit-learn remains the most accessible and well-documented ML library for getting started with classical machine learning""}"
awesome-llm,Awesome LLM,https://github.com/Hannibal046/Awesome-LLM,"A curated collection of papers and resources related to large language models, including milestone papers, tools, and datasets.",Hannibal046,AI & Machine Learning,Large Language Models,llm|nlp|transformers|papers|research,39k,Unknown,2025,400+,markdown,TRUE,"The definitive academic-oriented LLM resource. Tracks milestone papers chronologically, includes comprehensive model comparisons, and covers training techniques. Essential for researchers tracking the LLM landscape.",llms-from-scratch|awesome-chatgpt-prompts,2026-04-05,26716,2478,2025-07-31,266,FALSE,2023,26716,papers,advanced,tracking LLM research papers|finding LLM tools|understanding LLM landscape,FALSE,,FALSE,,llms-from-scratch|awesome-chatgpt-prompts,Milestone Papers|LLM Training|LLM Evaluation,9,"Start with the 'Milestone Papers' section to understand the foundational research, then check 'LLM Training' for practical implementation guides and 'LLM Evaluation' for benchmarking your own models.","Build an LLM paper tracker that visualizes the timeline of milestone papers and their citation relationships|Create a fine-tuning pipeline using the training resources listed here, targeting a domain-specific use case|Develop a benchmark comparison tool that evaluates open-source LLMs using evaluation frameworks from this list","{""name"": ""LLM Evaluation section"", ""url"": ""https://github.com/Hannibal046/Awesome-LLM#llm-evaluation"", ""why"": ""The evaluation section provides the most comprehensive overview of LLM benchmarks and evaluation methods, which is essential for any serious LLM development work""}"
awesome-chatgpt-prompts,Awesome ChatGPT Prompts,https://github.com/f/awesome-chatgpt-prompts,"A collection of prompt examples to be used with the ChatGPT model, including role-based and creative prompts.",f,AI & Machine Learning,Prompts,chatgpt|prompts|gpt|ai,28k,Unknown,2025,150+,markdown,TRUE,"The original and most popular ChatGPT prompt collection. Each prompt assigns ChatGPT a specific role (Linux terminal, interviewer, composer, etc.). Community-driven with constant additions.",prompt-engineering-guide|awesome-chatgpt-sindresorhus,2026-04-05,161283,21053,2026-05-01,46,FALSE,2022,161283,tutorials,beginner,finding ChatGPT prompt ideas|learning prompt writing|role-based prompting,TRUE,https://prompts.chat,FALSE,,prompt-engineering-guide|awesome-chatgpt-sindresorhus,Act as Prompts|Contributor Prompts|Usage Tips,8,"Browse the 'Act as...' prompts to find a role that matches your use case, then use the prompt structure as a template to craft your own variations — the power is in the role-assignment pattern, not the specific prompts.","Build a prompt template engine that lets users mix and match role-based prompts with custom instructions|Create a prompt A/B testing tool that compares outputs from different prompt strategies on the same input|Develop a prompt library app with tagging, search, and community voting features","{""name"": ""Act as a Linux Terminal"", ""url"": ""https://github.com/f/awesome-chatgpt-prompts#act-as-a-linux-terminal"", ""why"": ""The Linux Terminal prompt is the iconic example that demonstrated the power of role-based prompting and spawned an entire genre of 'act as' prompts""}"
prompt-engineering-guide,Prompt Engineering Guide,https://github.com/dair-ai/Prompt-Engineering-Guide,"A comprehensive guide and resource collection for prompt engineering techniques, papers, and best practices.",dair-ai,AI & Machine Learning,Prompt Engineering,prompt-engineering|llm|chatgpt|techniques,11k,CC0-1.0,2026,200+,markdown,TRUE,"Goes well beyond a simple list — it's a structured educational guide covering chain-of-thought, few-shot, zero-shot, and advanced prompting techniques. Actively maintained with the latest research integrated.",awesome-chatgpt-prompts|awesome-prompt-engineering,2026-04-05,74055,8006,2026-03-11,262,FALSE,2022,74055,tutorials,intermediate,learning prompt engineering techniques|studying prompting research|improving LLM outputs,TRUE,https://www.promptingguide.ai,FALSE,,awesome-chatgpt-prompts|awesome-prompt-engineering,Techniques|Applications|Research Papers,10,"Begin with the 'Techniques' section and work through chain-of-thought and few-shot prompting before tackling advanced methods — the guide is structured as a progressive curriculum, not a reference manual.",Build a prompt engineering workbench that lets you experiment with each technique from the guide side-by-side|Create an automated prompt optimizer that applies techniques from this guide to improve weak prompts|Develop a teaching tool that walks users through each prompting technique with interactive examples,"{""name"": ""Chain-of-Thought Prompting"", ""url"": ""https://www.promptingguide.ai/techniques/cot"", ""why"": ""The chain-of-thought section is the most practically impactful technique covered, with clear examples showing how to dramatically improve reasoning in LLM outputs""}"
awesome-prompt-engineering,Awesome Prompt Engineering,https://github.com/promptslab/Awesome-Prompt-Engineering,"A research-focused curated list of prompt engineering tools, techniques, papers, and resources.",promptslab,AI & Machine Learning,Prompt Engineering,prompt-engineering|research|llm|nlp,5.7k,Apache-2.0,2026,150+,markdown,TRUE,"Research-heavy prompt engineering collection with strong academic paper coverage. Includes sections on automatic prompt optimization, prompt injection defense, and evaluation frameworks.",prompt-engineering-guide|prompt-engineering-notebooks,2026-04-05,5843,661,2026-05-01,50,FALSE,2023,5843,papers,advanced,finding prompt engineering research|studying prompt optimization|prompt security research,FALSE,,FALSE,,prompt-engineering-guide|prompt-engineering-notebooks,Automatic Prompt Optimization|Prompt Injection Defense|Evaluation Frameworks,6,"Head to the 'Automatic Prompt Optimization' section first if you're building production systems, or start with 'Prompt Injection Defense' if you're focused on security — this list skews research-heavy.",Build a prompt injection fuzzer that tests your LLM application against attack patterns catalogued here|Create an automatic prompt optimization pipeline using the research papers and tools listed|Develop a prompt evaluation framework that scores prompts against the metrics described in the evaluation section,
